"Recipient Name","Project Purpose","Project Location","Amount Requested ($000)"
"BARC Electric Cooperative","Funding will be used to support a land-based mobile radio system that will eliminate communication dead zones in the counties of Bath, Alleghany, Rockbridge, Highland, and Augusta.","Statewide/Multiple Locations VA","1000"
"Blue Ridge Public Television, Inc; DBA, PBS Appalachia","Funding will be used to acquire audio-video and broadband equipment to create and disseminate educational content for distance learning, which will benefit educators and students across Southwest Virginia.","Statewide/Multiple Locations VA","750"
"Tazewell Community Foundation","Funding will be used to construct a new medical office building in Tazewell County, Virginia.","Tazewell County VA","1500"
"Town of Abingdon, Virginia","Funding will be used to purchase a new fire truck to support emergency response in the Town of Abingdon, Virginia.","Town of Abingdon VA","750"
"Town of Crewe, Virginia","Funding will be used to repair and renovate the Crewe Community Center in the Town of Crewe, Virginia.","Town of Crewe VA","360"
"Johnston Memorial Hospital, Inc.","Funding will be used to expand the lab at the Appalachian Highlands Community Dental Center in the Town of Abingdon, Virginia.","Washington County VA","385"
"Washington County Fire Rescue #1","Funding will be used to purchase a fire rescue engine to serve the community of Washington County, Virginia.","Washington County VA","660"
"Joint Industrial Development Authority of Wythe County","Funding will be used to redevelop a blighted property in downtown Wytheville, Virginia.","Wythe County VA","1298"
"Chesapeake and Ohio Historical Society","Funding will be used to make improvements to the Chesapeake and Ohio Railway Heritage Center in Clifton Forge, Virginia.","Alleghany County VA","263"
"Bedford County, Virginia","Funding will be used to renovate an existing building into a community center in Bedford County, Virginia.","Bedford County VA","1000"
"Bedford Area Family Young Men's Christian Association (YMCA)","Funding will be used to construct a teaching kitchen at the Bedford YMCA in Bedford County, Virginia.","Bedford County VA","294"
"Town of Grundy, Virginia","Funding will be used to purchase a new fire truck to support emergency response in the Town of Grundy, Virginia.","Buchanan County VA","310"
"Theatre Guild of Buchanan County, Inc.","Funding will be used to make improvements to the Community Arts Mainstage in Buchanan County, Virginia.","Buchanan County VA","174"
"Town of Grundy, Virginia","Funding will be used to purchase a patrol vehicle to serve the community of Buchanan County, Virginia.","Buchanan County VA","48"
"City of Bristol, Virginia","Funding will be used to purchase new municipal support vehicles for the City of Bristol, Virginia.","City of Bristol VA","572"
"Virginia Museum of Natural History","Funding will be used by the Virginia Museum of Natural History to establish a Young Explorer Center in the City of Martinsville, Virginia.","City of Martinsville VA","384"
"The Family YMCA, Incorporated","Funding will be used to construct a new YMCA in the City of Martinsville, Virginia.","City of Martinsville VA","2000"
"Town of Clintwood, Virginia","Funding will be used to purchase a replacement marquee for the Jettie Baker Center and a bucket truck to serve the community of Dickenson County, Virginia.","Dickenson County VA","196"
"Isle of Wight County, Virginia","Funding will be used to expand and renovate a fire department in Isle of Wight County, Virginia.","Isle of Wight County VA","1000"
"Northampton County, Virginia","Funding will be used to replace and upgrade the septic system in a building that is being converted into a community center in Northampton County, Virginia.","Northampton County VA","1000"
"Eastern Shore Area Agency on Aging/Community Action Agency","Funding will be used to rehabilitate the Eastern Shore Area Agency on Aging/Community Action Agency facility to support local seniors, children, and families.","Northampton County VA","1329"
"One Family Productions, Inc.","Funding will be used to upgrade equipment at the Star Theatre in Patrick County, Virginia.","Patrick County VA","202"
"Town of Pulaski, Virginia","Funding will be used to expand and renovate the Town of Pulaski fire department building to provide fire services to all of Pulaski County, Virginia.","Pulaski County VA","500"
"Town of Goshen, Virginia","Funding will be used to renovate an existing building into a community service center in the Town of Goshen, Virginia.","Rockbridge County VA","319"
"Russell County, Virginia","Funding will be used to construct a new fire department in Russell County, Virginia.","Russell County VA","423"
"Town of Lebanon, Virginia","Funding will be used to purchase a replacement brush truck to serve the Town of Lebanon, Virginia.","Russell County VA","188"